iter	MultiClass
0	0.946015039
1	0.7999641562
2	0.6870091761
3	0.5971435377
4	0.5230988267
5	0.4612117354
6	0.4093193768
7	0.364630355
8	0.3257575989
9	0.2904448833
10	0.2596170292
11	0.2324022437
12	0.2088705856
13	0.1881284006
14	0.1702064049
15	0.1537702778
16	0.1390166938
17	0.1258866351
18	0.1144001525
19	0.1044409822
20	0.09512228543
21	0.0871516619
22	0.07962079803
23	0.07296816957
24	0.06706468181
25	0.06179938447
26	0.05716492403
27	0.05292544941
28	0.04925993702
29	0.04582778468
30	0.0426447221
31	0.03987902794
32	0.03724659047
33	0.03491333518
34	0.03285406101
35	0.03094992818
36	0.02936579765
37	0.0277473881
38	0.02631395963
39	0.0250184509
40	0.02393388847
41	0.02274437495
42	0.02180183452
43	0.02086808821
44	0.02005967485
45	0.01931238849
46	0.01861983598
47	0.01792427437
48	0.01731665908
49	0.01675017367
50	0.01630554173
51	0.01591706512
52	0.01560061752
53	0.01518355651
54	0.0149921497
55	0.01457008157
56	0.01423300681
57	0.01397201837
58	0.01376078555
59	0.01352371642
60	0.01316329359
61	0.01302845211
62	0.0127938646
63	0.01258235002
64	0.0124834361
65	0.01229244986
66	0.01208797253
67	0.01201221919
68	0.01182770391
69	0.0117111352
70	0.01160412667
71	0.01141782004
72	0.01131478116
73	0.01122976422
74	0.01112787699
75	0.01101389607
76	0.01081005195
77	0.01071469205
78	0.01064114452
79	0.01060566543
80	0.01053948995
81	0.01046350307
82	0.01034669796
83	0.01029755825
84	0.01029626225
85	0.01022493658
86	0.0101892813
87	0.01014589145
88	0.01007040959
89	0.01002438605
90	0.009989528533
91	0.009931055699
92	0.009892481748
93	0.009854936752
94	0.009809788191
95	0.009768170952
96	0.00967303146
97	0.009580261194
98	0.009507326566
99	0.00946840457
100	0.009441646858
101	0.009343891084
102	0.00932831616
103	0.009289533007
104	0.009266749353
105	0.009214937225
106	0.009152366076
107	0.009118415785
108	0.009077748314
109	0.00902218235
110	0.008979033693
111	0.008872065795
112	0.008867368433
113	0.008860294907
114	0.008849349829
115	0.008791246313
116	0.008729117655
117	0.008640049393
118	0.008623659003
119	0.008584235194
120	0.008542539361
121	0.008540842475
122	0.008509269164
123	0.008453262435
124	0.008419020525
125	0.008399552657
126	0.008367216435
127	0.008357393427
128	0.008284379696
129	0.008265225805
130	0.008239720256
131	0.008163484266
132	0.008137118231
133	0.008116507953
134	0.008090221537
135	0.008050410144
136	0.008032946133
137	0.008019799473
138	0.007965619396
139	0.007943218719
140	0.007909184505
141	0.007881766693
142	0.007866412827
143	0.007850658129
144	0.007842693983
145	0.007839362648
146	0.007832425026
147	0.00780640273
148	0.007785324175
149	0.007762123161
150	0.007759942898
151	0.007741839264
152	0.007701335186
153	0.007679681069
154	0.007667343258
155	0.007651553706
156	0.007639133226
157	0.007607125403
158	0.007592173909
159	0.007583142315
160	0.007567512156
161	0.007562449927
162	0.007532072221
163	0.007522469424
164	0.00749758952
165	0.007489270779
166	0.007472341481
167	0.007454511271
168	0.007432772246
169	0.007430239297
170	0.007417786105
171	0.007379811665
172	0.007328664548
173	0.007313589663
174	0.007308573215
175	0.007293471913
176	0.007283296862
177	0.007276846009
178	0.007238902425
179	0.007232268666
180	0.007229994334
181	0.007174520169
182	0.007148123093
183	0.007146817311
184	0.007145210072
185	0.007124808517
186	0.007103547258
187	0.00709429511
188	0.00708527578
189	0.00707039384
190	0.007063840195
191	0.007029790182
192	0.007007396021
193	0.006993738183
194	0.00698485737
195	0.006962312824
196	0.00695106027
197	0.006934382029
198	0.006928321419
199	0.006903583654
200	0.006897190716
201	0.006882392495
202	0.006878414438
203	0.006855520236
204	0.006844437926
205	0.006816547985
206	0.006816014445
207	0.006812489089
208	0.006801340994
209	0.006795619019
210	0.0067857361
211	0.006775200108
212	0.006764065299
213	0.006749922226
214	0.006736224402
215	0.006725409423
216	0.006698420653
217	0.006694761655
218	0.006686443295
219	0.006667654219
220	0.006661285447
221	0.006648452465
222	0.006640158696
223	0.006625246824
224	0.006618200114
225	0.006612044155
226	0.00659329718
227	0.006584949313
228	0.006570318757
229	0.006569708294
230	0.006554131354
231	0.006523787974
232	0.006515990825
233	0.006513711833
234	0.006509595631
235	0.006491317042
236	0.006478445305
237	0.006460757633
238	0.006456990446
239	0.006453423292
240	0.006444332647
241	0.006438050199
242	0.006414372026
243	0.006390788688
244	0.006379055904
245	0.006362593637
246	0.006355696761
247	0.006347013295
248	0.006323955471
249	0.006310193779
250	0.006303029717
251	0.006298657984
252	0.00629246139
253	0.006279444985
254	0.006265636676
255	0.006230797758
256	0.006221027148
257	0.006218837572
258	0.00621855091
259	0.006207931409
260	0.006203265684
261	0.006198162414
262	0.006176433807
263	0.006163882014
264	0.006160211087
265	0.006150702155
266	0.006141200822
267	0.006135436675
268	0.006128369693
269	0.006114334765
270	0.006114054196
271	0.006102421015
272	0.00610016869
273	0.00608265032
274	0.006075110163
275	0.006065683541
276	0.006061707798
277	0.006051619833
278	0.006045908641
279	0.006040552785
280	0.00603591456
281	0.006023546254
282	0.006011765343
283	0.005999433885
284	0.005990525683
285	0.005973981322
286	0.005969253984
287	0.005956651646
288	0.005947693666
289	0.005943707336
290	0.005930898739
291	0.005922766556
292	0.00591403936
293	0.005902105673
294	0.005893812311
295	0.005882966062
296	0.005879613996
297	0.005874628158
298	0.005853689625
299	0.005837043884
300	0.005832828207
301	0.005821215526
302	0.005812541861
303	0.005804692291
304	0.005803264741
305	0.005800916529
306	0.005797387363
307	0.005792884039
308	0.005787179672
309	0.005772532241
310	0.005761941621
311	0.005760008891
312	0.005753077169
313	0.005748442153
314	0.005730662247
315	0.005727269591
316	0.005721685733
317	0.005717280635
318	0.005705302267
319	0.005704315267
320	0.00569806964
