iter	Passed	Remaining
400	30181	7451
401	30258	7376
402	30337	7302
403	30411	7226
404	30489	7151
405	30574	7078
406	30641	7001
407	30719	6926
408	30812	6855
409	30882	6779
410	30960	6704
411	31058	6633
412	31153	6562
413	31247	6490
414	31325	6416
415	31411	6342
416	31492	6268
417	31574	6194
418	31662	6120
419	31760	6049
420	31854	5977
421	31947	5905
422	32009	5826
423	32103	5754
424	32175	5677
425	32264	5604
426	32371	5534
427	32465	5461
428	32561	5389
429	32669	5318
430	32754	5243
431	32848	5170
432	32932	5095
433	33006	5019
434	33108	4947
435	33214	4875
436	33316	4803
437	33389	4726
438	33457	4649
439	33530	4572
440	33597	4494
441	33658	4416
442	33742	4341
443	33815	4265
444	33918	4192
445	34002	4116
446	34080	4040
447	34172	3966
448	34246	3889
449	34338	3815
450	34418	3739
451	34515	3665
452	34609	3590
453	34711	3517
454	34807	3442
455	34888	3366
456	35000	3293
457	35094	3218
458	35180	3142
459	35285	3068
460	35378	2992
461	35458	2916
462	35542	2840
463	35633	2764
464	35704	2687
465	35784	2610
466	35882	2535
467	35976	2459
468	36077	2384
469	36161	2308
470	36242	2231
471	36323	2154
472	36403	2077
473	36498	2002
474	36610	1926
475	36670	1848
476	36758	1772
477	36860	1696
478	36989	1621
479	37075	1544
480	37155	1467
481	37261	1391
482	37365	1315
483	37469	1238
484	37548	1161
485	37601	1083
486	37683	1005
487	37759	928
488	37848	851
489	37943	774
490	38033	697
491	38130	620
492	38219	542
493	38302	465
494	38406	387
495	38486	310
496	38577	232
497	38681	155
498	38785	77
499	38868	0
